Paper;CMA Name (A1);Report Date (A2) [automatically extracted from bibliography];Terminology (A3);Implemented? (A4);Model (A5);Relatives (A6);Innovations vs Predecessors (A7);Data Type (B1);Content (B2);Detail (B3);Specification (B4);Specifity Level (B5);Structuring (B6);Data Structure (B7);Framed Purpose (C1);Traget Issues (C2);Examples (C3);Processing Algorithms (C4);Test Scenarios (C5);Evaluation (C6);Last Year with Work CMA;Repository;Occurs in Kotseruba and Tsotsos;;
Arcos2011a;AML11;2011 \cite{Arcos2011a};Inference Trace;implemented;Nelson Narens;;"adjust retrieval and reuse of knowledge items (""cases"") together; internal testing similar to simulation";symbolic;inference traces;low-level;taxonomy of failures;general;no;not specified;improve case-based reasoning performance;adjust case retrieval heuristics;equipment design;parameter tuning;equipment design for control of hydrogen sulfide (H2S);"field test on application for design of pollution control equipment; ablation study; addition of metareasoning showed improvement";"2020 ("" Radically Simplifying Game Engines: AI Emotions & Game Self
Evolution "" seems to be the last paper)";;No;;
Brody2013a;BCP13;;Immediate Processual Self, Monitoring, autobiographical data, autobigraphical self, self-modelling;;Thick Time, Unified Model;;Thick-time representation of self;Symbolic;Logic rule application, time frame, semantic knowledge;;;;;Active Logic Knowledge Base;"Creation of an ""Immediate Processual Self""";;yes (vague);;;;2024 (svn://act-r.psy.cmu.edu/actr7.x);;Yes;;
Daglarli2020a;D20;2020;Replay memory, experience memory replay;yes;"Mapping to brain structures (prefrontal cortex)
Models of biological neural activation functions: Hodgin-Huxley, ion flow based, etc.
Models of larger scale patterns: Dynamic Neural Fields";- none, but related work mentions DAC-X (we don't seem to have this architecture in our list) which also insists on biological plausibility, and eBICA;"unclear; more explicitly models itself on brain areas?";"Sub-symbolic
(though there is a fuzzy cognitive map for if-then processing)";"activation states of artificial neural networks rather than explicit representations of facts about the environment;
however, also has a fuzzy cognitive map to implement rule-like reasoning, where the input-output statements may
explicitly point to some communicable feature of the environment";"unsure what the answer is here for neural activations; if-then rules in the cognitive map are fuzzy";mathematical formulas for neural dynamics and for the fuzzy cognitive map;very specific to the situation;latest interaction is available for the learning process, i.e. some temporary storage of neural activation states so that reinforcement learning can update the networks;"attractor network(s), working memory stored as weights in it
fuzzy cognitive map which links input features as detected by convolutional networks to some output features (e.g. other events or states that may be causally inferred from the known ones) or actions";"computational approximation of conciousness/awareness
spatio-temporal and emotional reasoning
""rational social interaction""";improvements in attention, decision-making, problem solving, HRI;solving sorting or prediction tasks in logic puzzles;"inference on artificial neural networks (feed forward through layers, feedback where the network has it as in the case of LSTM)
fuzzy inference in a cognitive map
networks trained with deep reinforcement learning with partially observable states
genetic algorithms (allegedly) to update fuzzy cognitive map
";"Wisconsin Card Sorting Test -- rules change occasionally, forcing test takers to relearn
Memory game (find matching cards)
Tic-tac-toe";"Experimental with a real robot
Experiment descriptions are very hard to understand but seem to be such that the same kind of tasks are performed with variations in the cognitive architecture (e.g. the source of a reward signal, or an extra optimization during learning). These do not seem to be ablation studies (""what would happen if we turned metacognition off"")
The experiments show that reward ad accuracy increase to a plateau with time spent interacting with a human on a game/task, with the higher plateau being the system with a more sophisticated optimization and reward source

Part of the experiment looks at performance under different emotional states, but it is not clear how these were emulated in the robot or whether they actually mean (for the robot) what is claimed they mean";2023 (Last push to the Github Repository was in 2023);https://github.com/mclumd/alma-2.0;No;;
Helgason2013a;H13;;Introspection, Operational History, contextualized process performance history;yes (AREA);;;;Symbolic;"* goal, utility, process, durability
* abstracted patterns from detailed event descriptions";Abstracted patterns;Ontological Conceptualization, Syntactitc Pattern Grammar;;;;Awareness;Prioritizing Goals;;"* ""When a new goal is generated, the CPPH is consulted by seeking entries that have a pattern matching the goal. If matches are found, the processes corresponding to each entry are assigned an increase in activation according to the utility value of the entry. Additionally, the fact that specific entries were used for the purpose of achieving a specific goal by activating selected processes is recorded for the lifetime of the goal. This is necessary to properly update the PCCH in the event that the goal is successfully achieved, in which case the entries used to increase activation of selected processes should receive increases in their utility values – if and only if the process activated by the entry is part of the chain of execution that terminated in goal achievement- the process rather than having individual process contribution entries being created and treating the goal achievement as a fundamentally new one. When generalized entries are reinforced in this manner, the new utility value resulting from the latest goal achievement is added to the exponential moving average (EMA) that encodes the utility of the entry.""
* Huffman Compressing for Novelty
* ""predictions are generated on the basis of the operational history of the system. A prediction (conclusion) will have a more compact form than the sum of information used to generate it.
* ""predictions should improve over time as the operational history of the system grows and more evidence (positive and negative) for causal links accumulates""
* ""Bottom-up attention, as presented and discussed in chapters 4 and 6, requires methods to evaluate the novelty of new information in relation to prior operational history of the system. While these concepts are well understood in common language, some discussion of their meaning is in order in context of the present work. How do we determine and measure what is novel or unexpected for an AI system? It is clear such assessments must be made based on the prior experience of the system. Events that the system has experienced on previous occasions are considered less novel than events similar to ones having been experienced before. The most naïve approach to determine novelty would to evaluate new events by searching for identical events in the entire operating history of the system. This approach has functional and practical problems: Absolutely identical events are unlikely to occur frequently in the operation the system; the description of events will involve continuous values and even separate instances would have different values for time of occurrence. It would seem more desirable to base novelty determination of new events on their similarity, on the level of informational representation, with prior events. Furthermore, storing the entire continuously growing operating history of the system is not reasonable due to limitations of memory, and even without memory limitations the size of the operational history would eventually become so extreme as to render simple search highly resource intensive.""
* While this presents a sufficient method of relating new goals to processes responsible for achieving identical goals in the past, it is important to note that identical goals are unlikely to occur often in the operational history of an AGI system, as the specification of goals involves individual entities and/or continuous values. Furthermore, the CPPH is likely to grow extremely large in size over time as the entire operational of goal-driven AGI system revolves around achieving goals at various levels of abstraction. Functionality that enables access to the CPPH on the basis of similarity (as opposed to exact matching) and compresses the size of the data contained therein is desirable. The pattern matching described in 7.5.1 can be of use for this purpose, as the pattern matching functionality is fully applicable to goals, with these being special types of data items. If a set of goals contained in the CPPH share common features, a special process of generalization can be used to generate one pattern from all these goals. In this case, entries for the original goals can be collapsed – and potentially discarded - into one more general entry where the goal specification is the new pattern. This enables the con- Helgi Páll Helgason 117 tents of the PGGH to be accessed on a basis of similarity – where similarity of a new goal with previous entries can be determined on the simple basis of whether it matches an existing pattern or not. Furthermore, as numerous entries may be collapsed into single entries, the growth of the PGGH over time is significantly reduced. Generalization must be a continuously running maintenance function of the PGGH. The principle of collapsing two or more process-to-goal contribution entries is based on shared references to entities and attributes in the original entries.";;;2024 (gitlab is active);https://git.h2t.iar.kit.edu/groups/sw/armarx;No;;
Kennedy2010b;K10;2010 \cite{Kennedy2010b};reasoning traces, monitoring;"no; position paper";Federated model;;distributed metacognition with a diversity of algorithms;;;;;;;;social context awareness;;;"* ""The simplified artificial immune system that we use is based on two 
algorithms: one for use in the training phase and another for the operational 
phase (when real intrusions can occur). 
During the training phase, a ""positive detector"" is generated for every 
new event record encountered and given a weight of 1. For every subsequent 
occurrence of the same event during the training phase, the weight of its 
detector is incremented. At the end of the training phase, the total weight can 
be expressed as a percentage, where 100% means that the event occurred on 
every training phase cycle and 0% means that it never occurred (for example, 
if a rule's conditions were never checked or its actions were never run). 
During the operational phase, if a positive detector fails to match something 
in the trace and the detector's weight is 100%, this is regarded as an 
""absence"" anomaly. We need only this simple version of the algorithm to 
satisfy our restricted requirement stated above (since the critical components 
must indicate that they are alive on each cycle). 
To detect more subtle anomalies (such as modification or resource 
diversion), it is possible to detect changes in the overall trace, while tolerating 
noise. There will be some mismatches for detectors whose weights are less 
than the total number of cycles (as activity in each cycle varies). The simplest 
method is to define a threshold above which the weighted sum of mismatches 
would be considered as an anomaly, as in Forrest et al. (1994). """;;;2024 (https://link.springer.com/article/10.1134/S1054661824700640 is on eBICA);;yes;;
Kennedy2012a;K12;;Meta-reasoning, reasoning trace, episodic memory of mental events, audit trail;No;Nelson-Narens, Theory of Mind, Metacognition is necessary for prospection (How will I behave in that situation?);Polyscheme (predecessor);;Symbolic;"""
T1
• What did the agent know initially? What did it see? What information did it consider to be relevant?
• How certain was the agent about its subsequent inferences (if
any)?
T2:
• Current goal and the options that were being considered;
• How the options were evaluated (positively or negatively);
• Which option was chosen, and why?
T3
• History of top-down attention focus: things which were deliberately added to working memory.
• History of “salience” events: bottom-up emergence of ideas or
noticing of details.
T4
• History of salience events which were disruptive;
• History of changes in subjective difficulty of a task due to other
pressures;
""";"""The traces T1 and T2 represent mental states on a high level, and
do not include the computational “fine structure”. To determine B’s
experience, the agent needs to simulate what it means to “know” or
to “see” something. One solution is to provide a mapping from a
low level trace (the fine structure) to a high level mental concept or
process, which may itself be embedded in a high level trace (such
as T1). This originates from the agent’s own understanding of its
information processing. Therefore, we also need a process by which
the agent learns to understand its mental states (a self-model), since
we are aiming for some bottom-up development in the agent’s ability
to make ethical decisions""

""Mental concepts in T1 and T2 may be defined in terms of lower level
trace patterns, of which specific instances are actual histories. For
example, a trace pattern might define the concept of “knows about
x” as “repeatedly able to retrieve with certainty the details of x when
questioned”.""";;;;;Moral Turing Test;Reasoning about Caring, Prospection, Ethical agent;;"""There are different ways in which a meta-reasoning process can use
a reasoning trace in a cognitive architecture. The following are two
possibilities:
• Integrity-checking: Meta-reasoning component M1 monitors
object-level O1 and checks if the trace satisfies a required pattern. When inspecting T1, the meta-reasoner compares the actual
trace with what it ought to be. For example: where the assumptions
correct? Did it consider all the information? Did it miss out any
options when making a decision? This is approximately the approach taken in [12], which emphases distribution of meta-levels
to ensure that all reasoning processes are satisfying the requirements.
• Failure diagnosis: the meta-reasoning component checks if the
current trace matches a known pattern of reasoning failure. This
is the approach taken in [6], which uses a taxonomy of different
types of failure. An example failure type is “contradiction between
expected and actual observations”.
In both cases, a set of generic trace patterns is held in long-term (semantic) memory, while specific instances of traces (audit trails in
episodic memory) are matched against the patterns. This is how an
agent monitors the integrity of its reasoning or “makes sense” of its
experience, depending on the respective paradigm. Both of these approaches may be combined.""
";;;2022 (https://www.mdpi.com/2079-3200/10/4/113 seems to be the last publication on this);jalheart/CarinaCore: CARINA: A cognitive architecture for artificial intelligent agents in smart educational environments;No;;
Kennedy2021a;K21;;Metacognitive Monitoring, trace;No;Behaviour Change Theory, Nelson Narens Model;;;Symbolic;"""History of mental events"", ""changes in attention focus, changes in beliefs and evaluations, changes in deliberation state (current goal and options, which option was selected and why)""";;;;;;"Identification of ""satisfactory"" reasoning processes";;Yes, but vague;;;;2024 (The official python implementation has ongiong work: https://github.com/cmekik/pyClarion/tree/v2409);https://github.com/cmekik/pyClarion;yes;;
Kennedy2002a;KS02;;monitoring, trace of execution events, event records;Yes;Distributed Reflection;;Multiple Meta-Level;Symbolic;"* ""The trace is a sequence of event records for one cycle. Two types of event are 
recorded: beginning of condition-checking of a rule and beginning of rule 
tiring. For example, a trace that is produced in an agent's cycle t by its objectlevel is loaded into the agent's database in cycle / + I by its internal sensors 
(data access procedures). Thus, it can compare the sensed trace with the 
expected trace represented by the model. In accordance with Fig. lb, an 
agent's meta-level evaluates traces from two different sources, namely its own 
object-level and its neighbor's meta-level. The trace of its neighbor's metalevel is the one produced by the neighbor's last execution cycle. The cyclenumber (timestamp) is recorded along with the trace.""
* ""An event record is also a declarative statement which uniquely identifies 
a component, namely, a (ruleset, rule) pair along with what happened to it. An 
example of an event record is: ""Rule R of ruleset S of observed agent A had 
its conditions checked at cycle T"". Consequently, a whole trace for one agent cycle is a conjunction of statements that are true for that cycle. The resulting 
database may be used for high-level reasoning and diagnosis, as well as for 
low-level statistical pattern-matching used in existing artificial immune 
systems, such as in Forrest et al. (1994). EMERALD (Porras & Neumann, 
1997) is an example that combines both these levels. """;;;System specific;Sequence;;Artificial Immune System;;No;"* Signature-based Artificial Immune System
* Weighted Detectors (Basically learned Atomic Queries)
* Interleaved Training and Operational Phases";Well, kinda, but not quantitative but qualitative;;2024 (https://github.com/cram2/cram/tree/devel has work on it);;yes;;
Kennedy2003a;KS02;;experience;;;;;;;;;;;;;;;;;;2024 (github https://github.com/GAIPS/FAtiMA-Toolkit has work on it);https://github.com/GAIPS/FAtiMA-Toolkit;No;;
Kennedy2003b;KS02;;;;;;;;;;;;;;;;;;;;2024 (Semaforr, a forr cognitive architecture, has work on it: https://github.com/RajKorpan/semaforr);https://github.com/RajKorpan/semaforr;yes;;
